	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8	AD9	AD10	AD11	AD12	AD13	AD14	AD15	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD28	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD38	AD39	AD40	AD41	AD42	AD43	AD44	AD45	AD46	AD47	AD48
miR-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-2	139	70	76	82	23	55	6	120	129	135	102	123	42	11	43	35	14	24	196	223	201	79	89	50	116	107	242	69	142	185	233	61	471	54	147	213	174	315	118	291	136	200	115	119	550	129	114	82	53	133	223	6	101	141	215	123	72	84	58	63	386	11	156	153	193	78	115	209	226	70
miR-3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1
miR-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-5	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	1	3	0	0	3	0	2	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	2	0	1	0	3	1	0	0	2	0	1	1	0	0	0
miR-6	300	141	275	86	40	659	84	489	155	250	177	197	464	272	566	380	215	257	474	498	575	187	576	198	337	124	505	162	284	661	432	277	533	82	476	522	1307	1537	506	518	403	795	842	174	1655	422	289	351	161	245	571	10	297	235	565	355	91	149	130	137	830	31	931	124	415	241	241	901	284	220
miR-7	1	2	0	1	1	1	1	0	0	0	1	2	2	2	0	1	0	2	0	0	2	4	2	1	0	1	2	1	3	2	0	4	2	0	4	1	0	1	2	0	0	5	1	1	6	4	0	2	0	2	4	0	2	2	2	1	0	0	0	2	5	0	5	0	5	0	2	4	4	2
miR-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
miR-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-11	56	60	87	36	41	117	9	194	38	198	69	41	61	35	168	82	92	42	108	115	196	92	45	17	42	18	83	25	25	91	250	19	111	8	49	52	102	432	19	363	167	316	42	32	670	109	26	88	10	74	91	0	30	30	85	39	13	15	12	10	240	5	91	64	42	30	29	247	58	79
miR-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	2	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
miR-14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
